frame number, object name, confidence, xmin, ymin, xmax, ymax
10,person,0.8870989,332,41,804,710
20,person,0.8915755,326,45,804,714
30,person,0.89887846,328,48,808,712
40,person,0.88042617,330,47,805,713
50,person,0.89059484,330,44,803,714
60,person,0.88731295,325,44,807,713
70,person,0.8923038,325,43,808,712
80,person,0.88939923,332,42,806,708
90,person,0.8943333,325,41,811,711
100,person,0.90175724,324,41,807,712
110,person,0.8894307,327,41,806,713
120,person,0.89387536,326,52,807,712
130,person,0.88509524,328,44,798,715
140,person,0.885024,330,49,804,716
